Matlab;C++;Difference
2379297.46728636;2379297.46720759;7.87647441029549E-005
4758594.72921509;4758594.72930955;-9.44575294852257E-005
7137892.438666;7137892.43875941;-9.34051349759102E-005
9517189.58517516;9517189.58519165;-1.64862722158432E-005
11896486.954439;11896486.9544171;2.19475477933884E-005
14275784.3920565;14275784.3920441;1.24294310808182E-005
16655081.7873586;16655081.7873456;1.29528343677521E-005
19034379.1860815;19034379.1860563;0.00002525
21413676.5841979;21413676.5841901;7.7858567237854E-006
23792973.9824897;23792973.982504;-1.42939388751984E-005
26172271.3807319;26172271.3807211;1.07884407043457E-005
28551568.7789804;28551568.7789298;5.06266951560974E-005
30930866.1772286;30930866.1771787;4.98779118061066E-005
33310163.5754617;33310163.5754568;4.85777854919434E-006
35689460.9736891;35689460.973716;-2.68816947937012E-005
38068758.3719342;38068758.3719544;-2.01687216758728E-005
40448055.7702024;40448055.7701962;6.23613595962524E-006
42827353.1684603;42827353.1684432;0.000017114
45206650.5666984;45206650.566688;1.04382634162903E-005
47585947.9649425;47585947.9649398;2.68220901489258E-006
49965245.3631924;49965245.363192;4.24683094024658E-007
52344542.761427;52344542.7614361;-9.08970832824707E-006
54723840.1596592;54723840.1596727;-1.35377049446106E-005
57103137.5579113;57103137.5579222;-1.08703970909119E-005
59482434.9561664;59482434.9561768;-1.03935599327087E-005
61861732.3544112;61861732.3544195;-8.33719968795776E-006
64241029.7526594;64241029.7526528;6.63846731185913E-006
66620327.1509212;66620327.1509001;2.11521983146667E-005
68999624.5491702;68999624.5491582;1.19805335998535E-005
