Matlab;C++;Difference
9930002.48523366;9922846.13480962;7156.3504240383
9955642.23657063;9948607.24429712;7034.9922735114
11509625.0339845;11502440.5998639;7184.4341206122
12579616.3608393;12573195.0258574;6421.3349818755
13882989.6983376;13876917.6746794;6072.0236581676
15151400.1346624;15144312.3202764;7087.814385986
16047407.8675156;16037507.0890396;9900.7784760445
16064378.504626;16055680.9661351;8697.538490912
17450078.3503707;17443043.1240112;7035.2263594531
17555314.8487238;17547555.3581265;7759.4905973449
19419108.3665482;19412366.4435452;6741.9230030403
19523806.7995784;19517898.8755536;5907.9240248017
21511121.888157;21504871.9249434;6249.9632136338
21878116.7414355;21873316.4510287;4800.2904068157
23892582.1333275;23886575.9926334;6006.140694052
24228429.0465726;24224398.8510377;4030.1955349483
26484625.7114214;26480865.4320394;3760.2793819532
26670645.5069745;26665285.8201612;5359.6868133359
28737445.8008305;28733596.7052473;3849.0955831856
29647001.4658669;29643068.451299;3933.0145679154
31189519.5443704;31185062.1499608;4457.3944096267
32295096.1878835;32292349.3132924;2746.8745911159
34220315.1451127;34215561.4921477;4753.6529650092
34610489.416788;34607976.9857836;2512.4310044274
36849926.4575016;36847385.4238511;2541.0336505398
37653164.5830973;37649313.6415868;3850.9415105134
39172066.6615805;39169116.2832779;2950.3783025518
40686267.4582788;40684048.0892102;2219.3690685704
42094500.211879;42090522.8525823;3977.3592967093
