Matlab;C++;Difference
602.5887682686;1826.8915660731;-1224.3027978045
2200384.67823945;2200384.67965297;-0.0014135195
4289339.38345725;4289339.42276661;-0.0393093638
4400769.35272657;4400769.35147182;0.0012547504
6601154.03046458;6601154.03039007;7.45151191949844E-005
8578678.76833349;8578678.76876801;-0.0004345197
8801538.7059061;8801538.70575434;0.0001517646
11001923.3832987;11001923.3832327;6.60158693790436E-005
12868018.1535854;12868018.1533892;0.0001962446
13202308.0593877;13202308.0593644;2.32793390750885E-005
15402692.7366815;15402692.7368349;-0.0001533721
17157357.5379452;17157357.5379659;-2.07126140594482E-005
17603077.41312;17603077.4132698;-0.0001497567
19803462.0898488;19803462.0900524;-0.0002036206
21446696.9224044;21446696.9224264;-2.1960586309433E-005
22003846.7659482;22003846.7666271;-0.0006789304
24204231.4431415;24204231.4431803;-3.87579202651977E-005
25736036.3068616;25736036.306996;-0.0001343787
26404616.1195394;26404616.119839;-0.0002996512
28605000.7962384;28605000.7964582;-0.0002198108
30025375.6913985;30025375.6915078;-0.0001092814
30805385.4727984;30805385.4731277;-0.0003293343
33005770.1492215;33005770.1495608;-0.0003392734
34314715.0759663;34314715.0757793;0.0001869649
35206154.8258081;35206154.8260963;-0.0002882481
37406539.5024253;37406539.502512;-8.67322087287903E-005
38604054.4604109;38604054.4603572;5.3703784942627E-005
39606924.1789519;39606924.1790773;-0.0001253784
41807308.855589;41807308.8555434;4.56422567367554E-005
42893393.8448751;42893393.8447985;7.66143202781677E-005
