Matlab;C++;Difference
5265904.04325494;5262061.98964289;3842.053612046
5524342.24723898;5520392.65513463;3949.5921043549
5689423.54128977;5686034.83283386;3388.7084559146
5991848.43313525;5987415.29949028;4433.1336449692
6365622.00340237;6361887.12328143;3734.8801209433
6384161.66490414;6380586.41781025;3575.2470938945
6736635.52272592;6731993.66222754;4641.8604983799
7207490.58740919;7206211.99855495;1278.5888542431
7612771.46018582;7608239.90469887;4531.555486952
8079540.82444625;8076632.8031957;2908.0212505506
8598323.31299976;8595291.77261638;3031.5403833781
8837482.52760081;8833859.56114305;3622.9664577581
9633992.38167208;9631162.57943968;2829.8022324052
9827312.68046036;9824706.50699991;2606.1734604482
10275028.344938;10272231.9500402;2796.3948978093
11145118.0986222;11143040.4514706;2077.6471515875
11578650.1283527;11579363.9284338;-713.8000810593
12537263.157142;12535407.3866851;1855.770456858
12910452.2738151;12910457.3796816;-5.1058665421
13973256.751156;13971585.1067925;1671.6443635188
14473777.1461267;14473717.693402;59.452724738
14981450.3201618;14975877.8198855;5572.5002762862
15442515.7308431;15441029.1482004;1486.5826426912
16382871.076569;16380877.5752489;1993.5013201274
16922080.7455234;16920400.826702;1679.9188213796
17073966.4123899;17071793.2213676;2173.1910223477
18292774.4038975;18291003.8940618;1770.5098356679
18451549.7949419;18450292.6644821;1257.1304598376
19429292.0770559;19427368.3651445;1923.7119114287
20018609.4160378;20017554.5194348;1054.896603033
