Matlab;C++;Difference
2200384.7405384;2200384.7405881;-4.96953725814819E-005
4289339.50913604;4289339.50972685;-0.0005908143
4400769.29097104;4400769.2911062;-0.0001351619
6601154.25535505;6601154.25539466;-3.96072864532471E-005
8578678.64787998;8578678.64817974;-0.0002997629
8801538.69924277;8801538.69918669;5.60842454433441E-005
11001923.3490326;11001923.349019;1.36140733957291E-005
12868018.593417;12868018.5933679;4.91328537464142E-005
13202308.0619976;13202308.0620581;-6.05322420597076E-005
15402692.7358933;15402692.735931;-3.76701354980469E-005
17157357.5239925;17157357.5238631;0.0001293942
17603077.4130041;17603077.4129723;3.18437814712524E-005
19803462.0894995;19803462.089465;0.000034526
21446696.856041;21446696.8560161;2.49296426773071E-005
22003846.7661219;22003846.766121;9.20146703720093E-007
24204231.4427148;24204231.4427113;3.47942113876343E-006
25736036.3114442;25736036.3115027;-5.84684312343597E-005
26404616.1193392;26404616.1193186;2.05524265766144E-005
28605000.7959498;28605000.7959415;8.34465026855469E-006
30025375.6906298;30025375.6906598;-2.99587845802307E-005
30805385.4725597;30805385.4725629;-3.15532088279724E-006
33005770.1491815;33005770.1491707;1.07884407043457E-005
34314715.0759865;34314715.0759456;4.09409403800964E-005
35206154.8257978;35206154.8257773;2.04816460609436E-005
37406539.5023955;37406539.5023842;0.00001131
38604054.4602215;38604054.4601434;7.80746340751648E-005
39606924.1789937;39606924.1789884;5.26010990142822E-006
41807308.8556073;41807308.8555952;1.20773911476135E-005
42893393.84481;42893393.8447571;5.29363751411438E-005
