Matlab;C++;Difference
3125774.80630523;3125774.8065724;-0.0002671722
3412985.01365084;3412985.01385169;-0.0002008486
3571171.81687202;3571171.81981277;-0.0029407484
3873965.08680174;3873965.08714068;-0.0003389358
4050363.31603698;4050363.32146997;-0.0054329908
4553392.45639513;4553392.45718974;-0.0007946063
4813545.86803466;4813545.86870438;-0.0006697178
5569693.72033188;5569693.72308501;-0.0027531255
5916023.25295068;5916023.25345152;-0.0005008401
6207021.28763936;6207021.28741298;0.0002263775
7252119.10107855;7252119.10126712;-0.0001885723
7539787.85561521;7539787.85834223;-0.0027270224
8682963.5302961;8682963.53074754;-0.0004514363
8835506.43444146;8835506.43906507;-0.0046236105
9530022.24830002;9530022.25035865;-0.0020586327
10167946.8352351;10167946.8353002;-6.50826841592789E-005
11130736.7730832;11130736.7745668;-0.0014835745
11436992.2851754;11436992.2860814;-0.0009060483
11697819.3550924;11697819.3551903;-9.79043543338776E-005
13134243.3437522;13134243.3449923;-0.0012400802
13384688.0932745;13384688.0942912;-0.0010166951
13749468.0662196;13749468.0677665;-0.0015468672
14731325.8250788;14731325.8255413;-0.0004624818
15401678.929171;15401678.9298997;-0.0007287227
16129661.7569121;16129661.7573988;-0.0004867427
16423834.4327487;16423834.4327358;1.29397958517075E-005
17445792.5078384;17445792.5092306;-0.0013922304
17840251.2181683;17840251.2185267;-0.0003584176
18840453.158716;18840453.1596746;-0.0009585731
19306551.5451938;19306551.5454597;-0.0002658889
