Matlab;C++;Difference;
50.7245439706;0;50.7245439706;No small value for C++ case
77.8278301008;0;77.8278301008;No small value for C++ case
615.6080052094;0;615.6080052094;No small value for C++ case
1589127.24380308;1589127.24237835;0.001424727;
2038452.90302524;2038452.89564887;0.0073763749;
2789232.28672662;2789232.28835143;-0.0016248096;
3178254.48245521;3178254.48350528;-0.0010500695;
4076905.80470599;4076905.80133078;0.0033752136;
4767381.72400069;4767381.72376179;0.0002389001;
5578464.57668963;5578464.57718868;-0.0004990473;
6115358.7094036;6115358.70605107;0.0033525294;
6356508.96433048;6356508.96475908;-0.0004285956;
7945636.20555004;7945636.20544353;0.0001065126;
8153811.61124551;8153811.60908242;0.0021630879;
8367696.8639656;8367696.86453483;-0.000569229;
9534763.44636615;9534763.44659281;-0.0002266616;
10192264.5141794;10192264.5123473;0.0018321034;
11123890.6872323;11123890.6873711;-0.0001387671;
11156929.1528346;11156929.1529919;-0.0001572706;
12230717.4166597;12230717.4156509;0.0010087937;
12713017.928404;12713017.9285234;-0.0001194272;
13946161.440318;13946161.4409494;-0.0006314367;
14269170.3197563;14269170.318429;0.0013273042;
14302145.1692113;14302145.169398;-0.0001867451;
15891272.4103832;15891272.4103988;-0.000015635;
16307623.2219229;16307623.2216447;0.0002781712;
16735393.7289585;16735393.7290659;-0.0001073722;
17480399.6512421;17480399.6514186;-0.0001765415;
18346076.1251744;18346076.1242545;0.0009199306;
