Matlab;Matlab;Difference
631.4417868157;45.3006996442;586.1410871715
0;92.9855717859;-92.9855717859
0;488.6258327352;-488.6258327352
1589127.24036309;1589127.24017389;0.0001891986
2038452.90305481;2038452.90394168;-0.0008868745
2789232.28748858;2789232.28935379;-0.0018652058
3178254.48138726;3178254.48160466;-0.0002173991
4076905.80458122;4076905.80559565;-0.0010144338
4767381.72285805;4767381.7228221;3.59462574124336E-005
5578464.54134674;5578464.57714854;-0.0358018028
6115358.70876374;6115358.70879221;-2.84686684608459E-005
6356508.96417057;6356508.96374398;0.0004265932
7945636.20506868;7945636.20502934;3.93390655517578E-005
8153811.59521614;8153811.6107891;-0.0155729558
8367696.86431013;8367696.86494739;-0.0006372575
9534763.44604161;9534763.44595985;8.17589461803436E-005
10192264.5140296;10192264.5142325;-0.0002028849
11123890.6870757;11123890.6869948;8.08816403150559E-005
11156929.4449343;11156929.1530943;0.2918400485
12230717.4156577;12230717.4168124;-0.0011547264
12713017.9278944;12713017.9280189;-0.0001244992
13946161.4408117;13946161.441103;-0.0002913289
14269170.3195569;14269170.3196654;-0.0001084581
14302145.1691621;14302145.1690045;0.0001576506
15891272.4099312;15891272.4100726;-0.0001414455
16307623.2212936;16307623.222246;-0.0009523742
16735393.7377875;16735393.729177;0.0086104758
17480399.6511994;17480399.6510829;0.0001164526
18346076.1250472;18346076.1250101;3.71336936950684E-005
19069526.8921167;19069526.8921003;0.000016354
19524626.0169961;19524626.0172606;-0.0002645291
20384529.0276374;20384529.0276759;-3.85195016860962E-005
